"geneid"	"GSE81520"
"F45E4.1"	-3.02210042237961
"Y57G11C.13"	-1.16684790125265
"C38D4.8"	-1.18025680330275
"F53H8.2"	0.180345131138453
"W02B12.6"	2.22289516812394
"F28H1.3"	2.1515130392135
"C15F1.6"	-0.448016288984417
"Y71F9AL.16"	2.1812854448426
"K07C5.1"	-1.51711584201241
"Y79H2A.6"	2.43418421413008
"Y6D11A.1"	3.89869190191843
"Y37D8A.1"	3.00042026910646
"C35D10.16"	2.03238035121826
"M01B12.3"	1.08129829551917
"F35G12.10"	-3.20469178127254
"F02E8.1"	2.01296158561399
"Y53F4B.15"	3.83029310397642
"K07A12.3"	0.361713123699469
"C53B7.4"	6.54987221795952
"B0252.2"	-0.512348073011925
"ZK455.4"	0.751562134516805
"W03G1.7"	2.6126131647189
