"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00002140"	"62"	"7"	"24"	"31"	"7"	"17"
"WBGene00015993"	"74"	"0"	"0"	"42"	"0"	"0"
"WBGene00022911"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00200850"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00200054"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194995"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00015497"	"74"	"36"	"211"	"57"	"46"	"114"
"WBGene00019665"	"6"	"1"	"3"	"3"	"8"	"2"
"WBGene00196668"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00019658"	"1475"	"1397"	"1971"	"2023"	"2087"	"2564"
"WBGene00004427"	"94201"	"180404"	"184466"	"161239"	"209961"	"228177"
"WBGene00044948"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00045051"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00019664"	"604"	"288"	"142"	"296"	"214"	"124"
"WBGene00023106"	"0"	"0"	"3"	"0"	"0"	"0"
"WBGene00019663"	"478"	"228"	"219"	"174"	"92"	"169"
"WBGene00019662"	"53"	"1"	"4"	"22"	"6"	"5"
"WBGene00044723"	"61"	"3"	"0"	"0"	"0"	"0"
"WBGene00019659"	"4"	"4"	"38"	"5"	"13"	"26"
"WBGene00019660"	"183"	"4"	"10"	"45"	"25"	"57"
"WBGene00044458"	"0"	"2"	"1"	"6"	"22"	"2"
"WBGene00019661"	"134"	"15"	"4"	"28"	"7"	"6"
"WBGene00195864"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023038"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00018256"	"255"	"2"	"1"	"83"	"0"	"2"
"WBGene00235287"	"8"	"0"	"1"	"3"	"0"	"0"
"WBGene00021950"	"410"	"53"	"77"	"267"	"67"	"96"
"WBGene00021949"	"5"	"4"	"1"	"5"	"27"	"2"
"WBGene00044460"	"1"	"2"	"0"	"2"	"2"	"1"
"WBGene00044459"	"80"	"18"	"5"	"27"	"6"	"1"
"WBGene00021951"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00168241"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00219763"	"1"	"1"	"0"	"2"	"0"	"1"
"WBGene00197624"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021948"	"73"	"28"	"25"	"40"	"17"	"12"
"WBGene00196878"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194844"	"0"	"0"	"0"	"0"	"1"	"0"
"WBGene00021947"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001788"	"28"	"6"	"20"	"21"	"21"	"38"
"WBGene00000677"	"1599"	"75296"	"60352"	"4061"	"91032"	"68899"
"WBGene00018928"	"183"	"112"	"105"	"260"	"182"	"128"
"WBGene00018929"	"38"	"4"	"1"	"8"	"2"	"1"
"WBGene00018933"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00018932"	"265"	"142"	"477"	"134"	"463"	"683"
"WBGene00018931"	"26"	"5"	"8"	"17"	"7"	"1"
